finding_type,finding_subtype,severity,policy_a,policy_b,policy,description,explanation
CONFLICT,DIRECT_CONFLICT,HIGH,policy_05.md,policy_26.md,,Direct contradiction between policy_05.md and policy_26.md on vendor.,"policy_05.md requires X, but policy_26.md prohibits X."
CONFLICT,DIRECT_CONFLICT,HIGH,policy_02.md,policy_07.md,,Direct contradiction between policy_02.md and policy_07.md on HR.,"policy_02.md requires X, but policy_07.md prohibits X."
CONFLICT,DIRECT_CONFLICT,HIGH,policy_05.md,policy_23.md,,Direct contradiction between policy_05.md and policy_23.md on HR.,"policy_05.md requires X, but policy_23.md prohibits X."
CONFLICT,DIRECT_CONFLICT,HIGH,policy_29.md,policy_28.md,,Direct contradiction between policy_29.md and policy_28.md on asset.,"policy_29.md requires X, but policy_28.md prohibits X."
CONFLICT,DIRECT_CONFLICT,HIGH,policy_12.md,policy_24.md,,Direct contradiction between policy_12.md and policy_24.md on data retention.,"policy_12.md requires X, but policy_24.md prohibits X."
CONFLICT,DIRECT_CONFLICT,HIGH,policy_30.md,policy_09.md,,Direct contradiction between policy_30.md and policy_09.md on logging.,"policy_30.md requires X, but policy_09.md prohibits X."
CONFLICT,DIRECT_CONFLICT,HIGH,policy_28.md,policy_03.md,,Direct contradiction between policy_28.md and policy_03.md on network.,"policy_28.md requires X, but policy_03.md prohibits X."
CONFLICT,DIRECT_CONFLICT,HIGH,policy_24.md,policy_12.md,,Direct contradiction between policy_24.md and policy_12.md on encryption.,"policy_24.md requires X, but policy_12.md prohibits X."
CONFLICT,DIRECT_CONFLICT,HIGH,policy_04.md,policy_10.md,,Direct contradiction between policy_04.md and policy_10.md on vendor.,"policy_04.md requires X, but policy_10.md prohibits X."
CONFLICT,DIRECT_CONFLICT,HIGH,policy_06.md,policy_19.md,,Direct contradiction between policy_06.md and policy_19.md on data retention.,"policy_06.md requires X, but policy_19.md prohibits X."
CONFLICT,DIRECT_CONFLICT,HIGH,policy_09.md,policy_17.md,,Direct contradiction between policy_09.md and policy_17.md on provisioning.,"policy_09.md requires X, but policy_17.md prohibits X."
CONFLICT,DIRECT_CONFLICT,HIGH,policy_18.md,policy_27.md,,Direct contradiction between policy_18.md and policy_27.md on patch.,"policy_18.md requires X, but policy_27.md prohibits X."
CONFLICT,DIRECT_CONFLICT,HIGH,policy_15.md,policy_25.md,,Direct contradiction between policy_15.md and policy_25.md on provisioning.,"policy_15.md requires X, but policy_25.md prohibits X."
CONFLICT,DIRECT_CONFLICT,HIGH,policy_09.md,policy_03.md,,Direct contradiction between policy_09.md and policy_03.md on access.,"policy_09.md requires X, but policy_03.md prohibits X."
CONFLICT,DIRECT_CONFLICT,HIGH,policy_21.md,policy_08.md,,Direct contradiction between policy_21.md and policy_08.md on password.,"policy_21.md requires X, but policy_08.md prohibits X."
CONFLICT,PARTIAL_CONFLICT,MEDIUM,policy_03.md,policy_30.md,,Scope-dependent contradiction between policy_03.md and policy_30.md on backup.,"policy_03.md applies to all users, policy_30.md to admins only."
CONFLICT,PARTIAL_CONFLICT,MEDIUM,policy_25.md,policy_30.md,,Scope-dependent contradiction between policy_25.md and policy_30.md on provisioning.,"policy_25.md applies to all users, policy_30.md to admins only."
